id,pais,confederacion,convocados
2,Arabia Saudita,AFC,0
4,Australia,AFC,0
9,Corea del Sur,AFC,0
21,Iran,AFC,0
22,Japon,AFC,0
27,Qatar,AFC,0
7,Camerun,CAF,0
18,Ghana,CAF,0
23,Marruecos,CAF,0
28,Senegal,CAF,0
31,Tunez,CAF,0
8,Canada,CONCACAF,0
10,Costa Rica,CONCACAF,0
15,Estados Unidos,CONCACAF,0
24,Mexico,CONCACAF,0
3,Argentina,CONMEBOL,0
6,Brasil,CONMEBOL,0
13,Ecuador,CONMEBOL,0
32,Uruguay,CONMEBOL,0
1,Alemania,UEFA,0
5,Belgica,UEFA,0
11,Croacia,UEFA,0
12,Dinamarca,UEFA,0
14,Espana,UEFA,0
16,Francia,UEFA,0
17,Gales,UEFA,0
19,Holanda,UEFA,0
20,Inglaterra,UEFA,0
25,Polonia,UEFA,0
26,Portugal,UEFA,0
29,Serbia,UEFA,0
30,Suiza,UEFA,0
